institution_id,institution_name,acronym,type,category,subcategory,State,address,phone,url
POLY-034,Politeknik Besut,PBT,IPTA,Politeknik,Konvensional,Terengganu,"Jalan Bukit Keluang, 22200 Besut, Terengganu",011-56563550,https://bit.ly/pelajar-baharu-polibesut
POLY-035,Politeknik Bagan Datuk,PBD,IPTA,Politeknik,Konvensional,Perak,"Jalan Bagan Datuk, 36100 Bagan Datuk, Perak",05-6081630,https://pbd.mypolycc.edu.my
POLY-036,Politeknik Tawau,PTS,IPTA,Politeknik,Konvensional,Sabah,"Km 36, Jalan Apas Balung, 91009 Tawau, Sabah",019-3261269,https://politawau.mypolycc.edu.my
KKOM-001,Kolej Komuniti Teluk Intan,KKTI,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"10-20 Persiaran Intanova, Taman Intanova, 36000 Teluk Intan, Perak",05-622 2134 / 106 / 019-386 5875, https://sites.google.com/kktin.edu.my/unit-ambilan-kkti/pelajar-baharu
KKOM-002,Kolej Komuniti Chenderoh,KKC,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Lot 43, Jalan Perindustrian Miel 2, Kawasan Perindustrian Iks, 33700 Kuala Kangsar, Perak",05-7733773 / 013-8046103, https://t.me/+d4h54EGVSOZjMmZl
KKOM-003,Kolej Komuniti Gerik,KKGE,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Bukit Nasah, 33300 Gerik, Perak",017-6747479, https://kkgerik.mypolycc.edu.my/
KKOM-004,Kolej Komuniti Sungai Siput,KKSS,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Kampung Sungai Sejuk, Peti Surat 390, 31100 Sungai Siput (U), Perak",05-5971440 / 012-5771433, https://kksungaisiput.mypolycc.edu.my/v1
KKOM-005,Kolej Komuniti Pasir Salak,KKPS,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Jalan Lebuh Paduka, Changkat Lada, 36800 Kampung Gajah, Perak",05-6552300 / 011-13122249, kkpasirsalak.mypolycc.edu.my
KKOM-006,Kolej Komuniti Batu Gajah,KKBG,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"11338-11359 Jalan Bandar Baharu 2, Pusat Bandar Baru, 31000 Batu Gajah, Perak",05-3651966 / 018-9144679, https://kkbatugajah.mypolycc.edu.my
KKOM-007,Kolej Komuniti Taiping,KKTA,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 25, Laluan Kamunting 3, Bandar Kamunting, 34600 Kamunting, Perak",05-8911884 / 05-8911867 / 014-5121800, https://kktaiping.mypolycc.edu.my/index.php/muat-turun/buku-panduan
KKOM-008,Kolej Komuniti Bagan Datuk,KKBDA,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 40-51, Lorong Lagenda 2, Medaniaga Lagenda, 36400 Hutan Melintang, Perak",05-6413694 /3695 / 011-29524191, http://tiny.cc/DokumenPendaftaranDis2025
KKOM-009,Kolej Komuniti Bagan Serai,KKBS,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 29, Jalan Syed Thauphy 2, 34300 Bagan Serai, Perak",05-7210020 / 011-5652 4292, https://kkbaganserai.mypolycc.edu.my/
KKOM-010,Kolej Komuniti Manjung,KKMA,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Lot 31, Persiaran PM 2/2, Pusat Bandar Seri Manjung, Seksyen 2, 32040 Manjung, Perak",05-6884526 / 013-4887704, https://kkmanjung.mypolycc.edu.my/
KKOM-011,Kolej Komuniti Kuala Kangsar,KKKK,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 60-62, Bangunan MPKK, Jalan Dato Maharaja Lela, 33000 Kuala Kangsar, Perak",016-9162819 / 05-7773770, https://kkkualakangsar.mypolycc.edu.my/v2/
KKOM-012,Kolej Komuniti Tapah,KKTAP,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Lot 9396, Wisma Chan Poh Lim, 35000 Tapah, Perak",05-4010072 / 011-17469694, https://kktapah.edu.my/portalv2/
KKOM-013,Kolej Komuniti Gopeng,KKG,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Peti Surat 11, Kompleks RTC Perak, Km 16, Jalan Gopeng, Kawasan Perindustrian Gopeng 2, 31600 Gopeng, Perak",05-3571737 / 011-63486228, https://kkgopeng.mypolycc.edu.my/
KKOM-014,Kolej Komuniti Sabak Bernam,KKSB,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan Raja Chulan, 45200 Sabak Bernam, Selangor",03-3216 3235, https://kksabakbernam.mypolycc.edu.my
KKOM-015,Kolej Komuniti Kuala Langat,KKKLA,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan Sultan Suleiman Shah, Jugra, 42700 Banting, Selangor",03-31202030 / 019-3704733, https://kkkualalangat.mypolycc.edu.my
KKOM-016,Kolej Komuniti Hulu Selangor,KKHS,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"No. 43-57, Jalan Kelah 2, Taman Perniagaan Kelah, 44300 Batang Kali, Selangor",03-60571717 / 011-13105176, https://kkhuluselangor.mypolycc.edu.my/
KKOM-017,Kolej Komuniti Hulu Langat,KKHL,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan Prima Saujana 2/G, Taman Prima Saujana, 43000 Kajang, Selangor",03-87370037 / 012-6361549, http://kkhululangat.mypolycc.edu.my/
KKOM-018,Kolej Komuniti Selayang,KKSE,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Persiaran Pegawai, Km 16, Jalan Ipoh, 68100 Batu Caves, Selangor",03-61368200 / 013-7478773, https://kkselayang.mypolycc.edu.my/
KKOM-019,Kolej Komuniti Ampang,KKAM,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Lot Pt 3890, 25 & 27, Jalan Bukit Indah 4, Taman Bukit Indah, 68000 Ampang, Selangor",017-8218081, https://kkampang.mypolycc.edu.my/
KKOM-020,Kolej Komuniti Kelana Jaya,KKKJ,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"No. 2, Jalan PJS 5/28b, Petaling Jaya Commercial City, 46150 Petaling Jaya, Selangor",03-77720259 / 011-67098604, https://kkkelanajaya.mypolycc.edu.my/
KKOM-021,Kolej Komuniti Tanjung Karang,KKTK,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan PB 1, Pusat Bandar Tanjong Karang, 45500 Tanjong Karang, Selangor",012-2611354, https://kktanjongkarang.mypolycc.edu.my/ atau https://maslinadoraji.com/kktk
KKOM-022,Kolej Komuniti Klang,KKKLAN,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"No. 2680, Persiaran Tengku Ampuan Rahimah, Taman Lipat Kajang, 41200 Klang, Selangor",03-33732030 / 011-13007697,https://kkklang.mypolycc.edu.my/
KKOM-023,Kolej Komuniti Shah Alam,KKSA,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"D/A Politeknik Sultan Salahuddin Abdul Aziz Shah, Persiaran Usahawan, Sejsyen U1, 40150 Shah Alam, Selangor",03-55618400, https://kkshahalam.mypolycc.edu.my
KKOM-024,Kolej Komuniti Kuala Langat Cawangan Sepang,KKKLCS,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Wisma Aziz Dan Rahmah, Jalan Warisan Putra 1, Taman Warisan Putra, 43800 Dengkil, Selangor",03-87501788, https://kksepang.mypolycc.edu.my/
KKOM-025,Kolej Komuniti Kuantan,KKKU,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"B24, Jalan IM 3/13, Bandar Indera Mahkota, 25200 Kuantan, Pahang",09-5721310 / 09-5721326, https://kkkuantan.mypolycc.edu.my/
KKOM-026,Kolej Komuniti Bentong,KKBE,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"Km 6, Karak Setia, 28600 Karak, Pahang",09-2319460 / 2319463 / 2319464 / 019-9790428, https://kkbentong.mypolycc.edu.my/
KKOM-027,Kolej Komuniti Temerloh,KKTE,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"By Pass Batu 2, Jalan Temerloh, Kg. Chatin Ulu, 28400 Mentakab, Pahang",016-2012114 / 09-2701550 / 1557, https://kktemerloh.mypolycc.edu.my/
KKOM-028,Kolej Komuniti Paya Besar,KKPB,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"Batu 19, Jalan Maran, 26300 Gambang, Pahang",09-5498811 / 010-3340630, https://kkpayabesar.mypolycc.edu.my
KKOM-029,Kolej Komuniti Rompin,KKRO,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"Km 5, Jalan Pekan Rompin, 26800 Kuala Rompin, Pahang",011-30227583, https://kkrompin.mypolycc.edu.my/
KKOM-030,Kolej Komuniti Pekan,KKPE,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"Jalan Pekan-Kuantan, Peramu Jaya, 26600 Pekan, Pahang",09-4264000, https://kkpekan.mypolycc.edu.my/
KKOM-031,Kolej Komuniti Jerantut,KKJE,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"Taman Wawasan, Jalan Jerantut-Temerloh, 27000 Jerantut, Pahang",09-2662945 / 013-3222914, https://kkjerantut.mypolycc.edu.my
KKOM-032,Kolej Komuniti Raub,KKRA,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"No. 11-19, Taman Amalina Lestari, Simpang Kallang, 27600 Raub, Pahang",019-9141646,
KKOM-033,Kolej Komuniti Bera,KKBER,IPTA,Kolej Komuniti,Kolej Komuniti,Pahang,"No. 1, Jalan Bera Jaya 2, Taman Bera Jaya, 28300 Triang, Pahang",017-9143064, https://kolejkomunitibera.weeblysite.com/
KKOM-034,Kolej Komuniti Kok Lanas,KKKL,IPTA,Kolej Komuniti,Kolej Komuniti,Kelantan,"Kok Lanas, 16450 Ketereh, Kelantan",013-9314175, https://kkkoklanas.mypolycc.edu.my/
KKOM-035,Kolej Komuniti Jeli,KKJEL,IPTA,Kolej Komuniti,Kolej Komuniti,Kelantan,"Lot 2396, Kg. Chedok, Bukit Bunga, 17500 Tanah Merah, Kelantan",012-6874184, https://kkjeli.mypolycc.edu.my/
KKOM-036,Kolej Komuniti Pasir Mas,KKPM,IPTA,Kolej Komuniti,Kolej Komuniti,Kelantan,"Pt 3302-3307, Taman Seri Kota, Pasir Pekan Wakaf Bharu, 16250 Tumpat, Kelantan",09-7185911 / 011-65232600 / 019-9539195, https://kkpasirmas.mypolycc.edu.my
KKOM-037,Kolej Komuniti Pasir Mas Cawangan Rantau Panjang,KKPMCRP,IPTA,Kolej Komuniti,Kolej Komuniti,Kelantan,"Lot 4471 & 4472 (Pt 3113 & 3114), Lebuhraya Rantau Panjang, 17200 Rantau Panjang, Kelantan",09-7185911 / 011-65232600 / 019-9539195, https://kkpasirmas.mypolycc.edu.my
KKOM-038,Kolej Komuniti Segamat,KKSEG,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"No. 24-34, Jalan Putra 1/1, Bandar Putra, 85000 Segamat, Johor",07-9431633 / 018-7602024, https://kksegamat.mypolycc.edu.my/
KKOM-039,Kolej Komuniti Ledang,KKLE,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Km 5, Jalan Payamas, 84900 Tangkak, Johor",06-9789295 / 016-9163286, https://kkledang.mypolycc.edu.my/
KKOM-040,Kolej Komuniti Bandar Penawar,KKBPE,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Jalan Ungku Abdul Aziz, Bandar Penawar, 81930 Kota Tinggi, Johor",07-8225800 samb. 222 / 010-8225875 / 013-7000026, http://kkbandarpenawar.mypolycc.edu.my/
KKOM-041,Kolej Komuniti Segamat 2,KKS2,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Km 4, Jalan Jementah, Batu Anam, 85100 Segamat, Johor",07-9498227 / 017-2104988, https://kksegamat2.mypolycc.edu.my/
KKOM-042,Kolej Komuniti Pasir Gudang,KKPG,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"No. 61, Jalan Kijang, Taman Scientex, 81700 Pasir Gudang, Johor",07-2525316 / 07-2525626 / 012-7315489, https://kkpasirgudang.mypolycc.edu.my/
KKOM-043,Kolej Komuniti Kluang,KKKLU,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Jalan 7, Taman Delima, 86000 Kluang, Johor",07-7733505 / 013-7699023, https://kkkluang.mypolycc.edu.my/
KKOM-044,Kolej Komuniti Batu Pahat,KKBP,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Jalan EH 1, Evergreen Height, 83000 Batu Pahat, Johor",07-4284410 / 013-7598690, https://kkbatupahat.mypolycc.edu.my/
KKOM-045,Kolej Komuniti Muar,KKMU,IPTA,Kolej Komuniti,Kolej Komuniti,Johor.,"No. 27-37 Pusat Perniagaan Sulaiman, Jalan Sulaiman, 84000 Muar, Johor",06-9533966, https://kkmuar.mypolycc.edu.my/
KKOM-046,Kolej Komuniti Bandar Tenggara,KKBT,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"No. 65-67, Jalan Anggerik 3/1, Taman Anggerik Tenggara, 81440 Bandar Tenggara, Johor",07-8961361 / 013-7710831,https://kkbandartenggara.mypolycc.edu.my/
KKOM-047,Kolej Komuniti Tanjung Piai,KKTP,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"No. 45-47, Jalan Delima, Pusat Perdagangan Pontian, 82000 Pontian, Johor",07-6869600 / 010-2227220, https://kktanjungpiai.mypolycc.edu.my/
KKOM-048,Kolej Komuniti Pagoh,KKPA,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"No. 1-6, Jalan Pagoh Jaya 1/5, Taman Pagoh, 84500 Muar, Johor",06-9736001 / 6003, https://kkpagoh.mypolycc.edu.my/file/BUKU_PANDUAN_PENDAFTARAN_SESI_2_2025_2026.pdf
KKOM-049,Kolej Komuniti Kota Tinggi,KKKTI,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Lot 549, No. 1A, Jalan Abdullah, 81900 Kota Tinggi, Johor",07-8821434 / 010-2203431, https://kkkotatinggi.mypolycc.edu.my/
KKOM-050,Kolej Komuniti Bandar Penawar Cawangan Gelang Patah,KKBPCGP,IPTA,Kolej Komuniti,Kolej Komuniti,Johor,"Nusa Bayu Commercial Center, Jalan Nusa Bayu 1/2, Taman Nusa Bayu, 79200 Iskandar Puteri, Johor",07-5964159, http://kkgelangpatah.mypolycc.edu.my
KKOM-051,Kolej Komuniti Bandar Darulaman,KKBD,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"No. 17, Bandar Darulaman Jaya, 06000 Jitra, Kedah",011-31470889, https://kkbandardarulaman.mypolycc.edu.my/
KKOM-052,Kolej Komuniti Sungai Petani,KKSP,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"No. 77, Lengkok Cempaka 1, Pusat Bandar Amanjaya, 08000 Sungai Petani, Kedah",04-4412909 / 3909 / 017-4631364, https://kksungaipetani.mypolycc.edu.my/
KKOM-053,Kolej Komuniti Kulim,KKKUL,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"Jalan Kota Kenari 2, Taman Kota Kenari, 09000 Kulim, Kedah",04-4900412, https://kkkulim.mypolycc.edu.my/
KKOM-054,Langkawi Tourism Academy @ Kolej Komuniti Langkawi,KKL,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"Jalan Pantai Chenang, Mukim Kedawang, 07000 Langkawi, Kedah",04-9555909, https://ltakklangkawi.mypolycc.edu.my/
KKOM-055,Kolej Komuniti Baling,KKBA,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"Batu 42, Mukim Pulai, 09100 Baling, Kedah",04-4708768 samb.122 / 017-4867448, https://kkbaling.mypolycc.edu.my/index.php/muat-turun
KKOM-056,Kolej Komuniti Padang Terap,KKPT,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"Taman Belimbing Indah, 06300 Kuala Nerang, Kedah",04-7903811, https://kkpadangterap.mypolycc.edu.my/
KKOM-057,Kolej Komuniti Sik,KKSI,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"No. 28-A, Pusat Perniagaan Alamanda, 08200 Sik, Kedah",04-4693101 / 013-3999303, https://sites.google.com/kksik.edu.my/ambilan-kolej-komuniti-sik/permohonan
KKOM-058,Kolej Komuniti Bandar Darulaman Cawangan Jerlun,KKBDCJ,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"No. 1, Tingkat Bawah, Taman Seri Kodiang, 06100 Kodiang, Kedah",04-9250519 / 011-31470889, https://kkjerlun.mypolycc.edu.my/
KKOM-059,Kolej Komuniti Bandar Baharu,KKBBA,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"No. 1, Jalan Syariah, 34950 Bandar Baharu, Kedah",011-31743123, https://kkbandarbaharu.mypolycc.edu.my/
KKOM-060,Kolej Komuniti Jerai,KKJER,IPTA,Kolej Komuniti,Kolej Komuniti,Kedah,"Lot 7, Jalan Delima 1, Taman Delima, 08800 Guar Chempedak, Kedah",04-4682704 / 018-9164948, https://kkjerai.mypolycc.edu.my/
KKOM-061,Kolej Komuniti Bukit Beruang,KKBBE,IPTA,Kolej Komuniti,Kolej Komuniti,Melaka,"No. 23, Jalan Bbi 1, Taman Bukit Beruang Indah, 75450 Bukit Beruang, Melaka",06-2332770 / 019-7090581, https://kkbukitberuang.mypolycc.edu.my/
KKOM-062,Kolej Komuniti Masjid Tanah,KKMT,IPTA,Kolej Komuniti,Kolej Komuniti,Melaka,"Paya Rumput, 78300 Masjid Tanah, Melaka",06-3843703, https://kkmasjidtanah.mypolycc.edu.my
KKOM-063,Kolej Komuniti Selandar,KKSEL,IPTA,Kolej Komuniti,Kolej Komuniti,Melaka,"Jalan Batang Melaka, 77500 Selandar, Melaka",06-5253122 / 5253155, https://kkselandar.mypolycc.edu.my/
KKOM-064,Kolej Komuniti Jasin,KKJA,IPTA,Kolej Komuniti,Kolej Komuniti,Melaka,"Km 24, Taman Iks Merlimau, Jalan Muar, 77300 Merlimau, Melaka",06-2631616, https://kkjasin.mypolycc.edu.my/
KKOM-065,Kolej Komuniti Kota Melaka,KKKME,IPTA,Kolej Komuniti,Kolej Komuniti,Melaka,"No. 5, Kompleks Kesidang, Jalan Tun Perak, 75450 Melaka, Melaka",06-3361220 / 012-6109912, https://kkkotamelaka.mypolycc.edu.my/
KKOM-066,Kolej Komuniti Tangga Batu,KKTB,IPTA,Kolej Komuniti,Kolej Komuniti,Melaka,"Lot 423, Jalan SS 1, Taman Sayang Selasih, 75200 Klebang, Melaka",06-3152952 / 016-8287418, https://kktanggabatu.mypolycc.edu.my
KKOM-067,Kolej Komuniti Jempol,KKJEM,IPTA,Kolej Komuniti,Kolej Komuniti,Negeri Sembilan,"Taman Industri Mahsan, Km 5, Jalan Mahsan, 72100 Bahau, Negeri Sembilan",013-6664220, https://kkjempol.mypolycc.edu.my/
KKOM-068,Kolej Komuniti Jelebu,KKJ,IPTA,Kolej Komuniti,Kolej Komuniti,Negeri Sembilan,"Jalan Seperi, 71600 Kuala Klawang, Negeri Sembilan",06-6138381 / 011-1857 8120, https://kkjelebu.mypolycc.edu.my/
KKOM-069,Kolej Komuniti Rembau,KKR,IPTA,Kolej Komuniti,Kolej Komuniti,Negeri Sembilan,"Lot Pt 2565-2579, Taman Pinggiran Pedas, 71400 Pedas, Negeri Sembilan",010-4017811, https://kkrembau.mypolycc.edu.my/
KKOM-070,Kolej Komuniti Tampin,KKTAM,IPTA,Kolej Komuniti,Kolej Komuniti,Negeri Sembilan,"No. 99-100, Jalan Impian Nuri 3, Taman Impian Jaya, 73200 Gemencheh, Negeri Sembilan",06-4316029 / 017-4897946, https://kktampin.mypolycc.edu.my/
KKOM-071,Kolej Komuniti Kuala Pilah,KKKP,IPTA,Kolej Komuniti,Kolej Komuniti,Negeri Sembilan,"Jalan 4, Taman Pilah Jaya, 72000 Kuala Pilah, Negeri Sembilan",011-55576925, https://kkkualapilah.mypolycc.edu.my/
KKOM-072,Kolej Komuniti Kepala Batas,KKKB,IPTA,Kolej Komuniti,Kolej Komuniti,Pulau Pinang,"No. 87, Lorong Bertam Indah 1, Taman Bertam Indah, 13200 Kepala Batas, Pulau Pinang",04-5792300 / 011-17892300, https://kkkepalabatas.mypolycc.edu.my/v1/
KKOM-073,Kolej Komuniti Bayan Baru,KKBB,IPTA,Kolej Komuniti,Kolej Komuniti,Pulau Pinang,"No. 2, Persiaran Paya Terubong 1, 11900 Bayan Lepas, Pulau Pinang",017-6067216, https://kkbayanbaru.mypolycc.edu.my/index.php/muatturun/garis-panduan/bahagian-ambilan-dan-pembangunan-pelajar
